primary_code,domicile_id,asset_universe,,
40104966,USA,Exchange Traded Funds,,
40104967,USA,Exchange Traded Funds,,
40104968,USA,Exchange Traded Funds,,
40105122,USA,Mutual Funds,,
40105754,USA,Exchange Traded Funds,,
40106102,USA,Mutual Funds,,
40106468,USA,Exchange Traded Funds,,
40106469,USA,Exchange Traded Funds,,
40106470,USA,Exchange Traded Funds,,
40106471,USA,Exchange Traded Funds,,
40106472,USA,Exchange Traded Funds,,
40106473,USA,Exchange Traded Funds,,
40106474,USA,Exchange Traded Funds,,
40106475,USA,Exchange Traded Funds,,
40106476,USA,Exchange Traded Funds,,
40106477,USA,Exchange Traded Funds,,
40106508,USA,Exchange Traded Funds,,
40106738,USA,Exchange Traded Funds,,
40106739,USA,Exchange Traded Funds,,
40107023,USA,Mutual Funds,,
40107151,USA,Exchange Traded Funds,,
40107152,USA,Exchange Traded Funds,,
40107157,USA,Exchange Traded Funds,,
40107225,USA,Exchange Traded Funds,,
40107236,USA,Exchange Traded Funds,,
40107240,USA,Exchange Traded Funds,,
40107248,USA,Exchange Traded Funds,,
40107343,USA,Insurance Funds,,
40107467,USA,Exchange Traded Funds,,
40107470,USA,Exchange Traded Funds,,
40107570,USA,Exchange Traded Funds,,
40107595,USA,Mutual Funds,,
40107596,USA,Mutual Funds,,
40107597,USA,Mutual Funds,,
40107598,USA,Mutual Funds,,
40107614,USA,Exchange Traded Funds,,
40107620,USA,Exchange Traded Funds,,
40107632,USA,Mutual Funds,,
40107712,USA,Exchange Traded Funds,,
40107808,USA,Mutual Funds,,
40107890,USA,Exchange Traded Funds,,
40107891,USA,Exchange Traded Funds,,
40107947,USA,Mutual Funds,,
40108210,USA,Exchange Traded Funds,,
40108233,USA,Exchange Traded Funds,,
40108234,USA,Exchange Traded Funds,,
40108298,USA,Mutual Funds,,
40108729,USA,Exchange Traded Funds,,
40108763,USA,Exchange Traded Funds,,
40108764,USA,Exchange Traded Funds,,
40108765,USA,Exchange Traded Funds,,
40108766,USA,Exchange Traded Funds,,
40108888,USA,Exchange Traded Funds,,
40108889,USA,Exchange Traded Funds,,
40108890,USA,Exchange Traded Funds,,
40108893,USA,Exchange Traded Funds,,
40108894,USA,Exchange Traded Funds,,
40108895,USA,Exchange Traded Funds,,
40108896,USA,Exchange Traded Funds,,
40108897,USA,Exchange Traded Funds,,
40108922,USA,Mutual Funds,,
40108923,USA,Mutual Funds,,
40108934,USA,Mutual Funds,,
40108938,USA,Mutual Funds,,
40109059,USA,Exchange Traded Funds,,
40109062,USA,Exchange Traded Funds,,
40109063,USA,Exchange Traded Funds,,
40109070,USA,Exchange Traded Funds,,
40109071,USA,Exchange Traded Funds,,
40109073,USA,Exchange Traded Funds,,
40109091,USA,Exchange Traded Funds,,
40109092,USA,Exchange Traded Funds,,
40109134,USA,Exchange Traded Funds,,
40109136,USA,Exchange Traded Funds,,
40109141,USA,Exchange Traded Funds,,
40109154,USA,Exchange Traded Funds,,
40109155,USA,Exchange Traded Funds,,
40109161,USA,Exchange Traded Funds,,
40109162,USA,Exchange Traded Funds,,
40109163,USA,Exchange Traded Funds,,
