primary_code,t_date,fund size
60055462,10/31/2019,23339399
60055464,10/31/2019,123337449
60055466,10/31/2019,51484312
60055467,10/31/2019,22506299
60055470,10/31/2019,12753810
60055483,10/31/2019,5687242
60056108,10/31/2019,3673858682
60056149,10/31/2019,1084638122
60056151,10/31/2019,1240100862
60056156,10/31/2019,4970553609
60056175,10/31/2019,104361299
60056194,10/31/2019,5967877036
60056570,10/31/2019,4404092
60056746,10/31/2019,655059215
60056773,10/31/2019,952570283
60057307,10/31/2019,28123477
60057369,10/31/2019,174004969
60057684,10/31/2019,82318370
60057696,10/31/2019,51546059
60057700,10/31/2019,226028381
60057708,10/31/2019,88311830
60057716,10/31/2019,897084300
60057760,10/31/2019,307739822
60057838,10/31/2019,155535307
60057899,10/31/2019,548120337
60057903,10/31/2019,2003132922
60058271,10/31/2019,14670193
60058326,10/31/2019,53892005
60058336,10/31/2019,201813481
60058344,10/31/2019,245108145
60058345,10/31/2019,162866101
60058346,10/31/2019,218423478
60058397,10/31/2019,596877136
60058487,10/31/2019,140785124
60058600,10/31/2019,77824915
60058973,10/31/2019,3415115694
60059015,10/31/2019,2257364709
60059017,10/31/2019,1591482336
60059437,10/31/2019,22978275
60059849,10/31/2019,89035706
60059853,10/31/2019,161592895
60059868,10/31/2019,1942914592
60059951,10/31/2019,587461795
60059956,10/31/2019,358071298
60060101,10/31/2019,130745151
60060103,10/31/2019,700978424
60060109,10/31/2019,346810235
60060499,10/31/2019,8556417
60061997,10/31/2019,12478165
60063118,10/31/2019,892619426
60063199,10/31/2019,417984514
60063200,10/31/2019,38297445
60063201,10/31/2019,70228692
60063617,10/31/2019,457585540
60063626,10/31/2019,109816600
60063627,10/31/2019,516694293
60063628,10/31/2019,26950870
60063766,10/31/2019,482014100
60063771,10/31/2019,348776871
60063780,10/31/2019,796667248
60063905,10/31/2019,57265373
60063923,10/31/2019,487069560
60064054,10/31/2019,922171689
60064163,10/31/2019,24179119
60065077,10/31/2019,1508991675
60065079,10/31/2019,343661189
60065132,10/31/2019,61725024
60065197,10/31/2019,40582832
60065610,10/31/2019,287026972
60065621,10/31/2019,914129260
60065746,10/31/2019,8275920896
60066122,10/31/2019,153883147
60066411,10/31/2019,1367995957
60066416,10/31/2019,1457244544
60069289,10/31/2019,833616360
60069409,10/31/2019,1254844499
60069412,10/31/2019,226350129
60069422,10/31/2019,156324914
60069854,10/31/2019,450657020
60069855,10/31/2019,187992711
60069856,10/31/2019,97076890
60069857,10/31/2019,116252481
60069859,10/31/2019,125542546
60069860,10/31/2019,193583908
60069865,10/31/2019,699232616
60069962,10/31/2019,7655827674
60070075,10/31/2019,109871700
60070108,10/31/2019,131828459
60070110,10/31/2019,472185098
60070114,10/31/2019,192472249
60070123,10/31/2019,215943606
60070126,10/31/2019,153007089
60070133,10/31/2019,365825816
60070134,10/31/2019,338407700
60070144,10/31/2019,753959300
60070147,10/31/2019,764457396
60070153,10/31/2019,1761746876
60070158,10/31/2019,1344845500
60070843,10/31/2019,666870270
60071203,10/31/2019,302124971
60071205,10/31/2019,205332004
60071208,10/31/2019,54571270
60071211,10/31/2019,1187377501
60071398,10/31/2019,332436677
60071415,10/31/2019,79078827
60072556,10/31/2019,51406283
60074157,10/31/2019,205001700
60074160,10/31/2019,1209129501
60074352,10/31/2019,2055905653
